Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm
2022,"Hartel, E; Zechmeister-Boltenstern, S; Gerzabek, M",Gaseous nitrogen losses from a forest site in the North Tyrolean Limestone Alps,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,,,23,30,2002,,4,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2023,"Hatch, DJ; Sprosen, MS; Jarvis, SC; Ledgard, SF",Use of labelled nitrogen to measure gross and net rates of mineralization and microbial activity in permanent pastures following fertilizer applications at different time intervals,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,16,23,2172,2178,2002,,2,,,10.1002/rcm.783,N,4,9/26/2008,"Topic=(""soil respiration"")"
2024,"Hayes, Tom D.; Swanson, Alan; D'Antonio, Carla M.; Griffiths, Robert P.",Biogeochemical edge effects on nitrogen and carbon retention in fragmented oldgrowth forest,Ecological Society of America Annual Meeting Abstracts,87,,24,,2002,,0,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2025,"Heikkinen, JEP; Elsakov, V; Martikainen, PJ","Carbon dioxide and methane dynamics and annual carbon balance in tundra wetland in NE Europe, Russia",GLOBAL BIOGEOCHEMICAL CYCLES,16,4,,,2002,,15,N,Y,10.1029/2002GB001930,N,1,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2026,"Heikkinen, JEP; Maijanen, M; Aurela, M; Hargreaves, KJ; Martikainen, PJ",Carbon dioxide and methane dynamics in a sub-Arctic peatland in northern Finland,POLAR RESEARCH,21,1,49,62,2002,,15,N,Y,,N,2,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2027,"Herbst, M; Kutsch, WL; Hummelshoj, P; Jensen, NO; Kappen, L",Canopy physiology: interpreting the variations in eddy fluxes of water vapour and carbon dioxide observed over a beech forest,BASIC AND APPLIED ECOLOGY,3,2,157,169,2002,,2,,,,N,3,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2028,"Hertenberger, G; Zampach, P; Bachmann, G",Plant species affect the concentration of free sugars and free amino acids in different types of soil,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE-ZEITSCHRIFT FUR PFLANZENERNAHRUNG UND BODENKUNDE,165,5,557,565,2002,,7,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2029,"Hirsch, AI; Trumbore, SE; Goulden, ML",Direct measurement of the deep soil respiration accompanying seasonal thawing of a boreal forest soil,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,108,D3,,,2002,,9,Y,Y,10.1029/2001JD000921,N,2,9/26/2008,"Topic=(""soil respiration"")"
2030,"Hobbie, SE; Miley, TA; Weiss, MS",Carbon and nitrogen cycling in soils from acidic and nonacidic tundra with different glacial histories in Northern Alaska,ECOSYSTEMS,5,8,761,774,2002,,17,,,10.1007/s10021-002-0185-6,N,3,9/26/2008,"Topic=(""soil respiration"")"
2031,"Hogberg, P; Nordgren, A; Agren, GI",Carbon allocation between tree root growth and root respiration in boreal pine forest,OECOLOGIA,132,4,579,581,2002,,31,N,Y,10.1007/s00442-002-0983-8,N,2,9/26/2008,"Topic=(""soil respiration"")"
2032,"Hooper, DU; Cardon, ZG; Chapin, FS; Durant, M",Corrected calculations for soil and ecosystem measurements of CO2 flux using the LI-COR 6200 portable photosynthesis system,OECOLOGIA,132,1,1,11,2002,,21,,,10.1007/s00442-002-0870-3,N,4,9/26/2008,"Topic=(""soil respiration"")"
2033,"Hund-Rinke, Kerstin; Koerdel, Werner; Hennecke, Dieter; Achazi, Rudolf; Warnecke, Dietmar; Wilke, Berndt-Michael; Winkel, Birgit; Heiden, Stefanie",Bioassays for the ecotoxicological and genotoxicological assessment of contaminated soils (results of a round-robin test): Part II: Assessment of the habitat function of soils: Tests with soil microflora and fauna.,Journal of Soils and Sediments,2,2,83,90,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2034,"Hunt, JE; Kelliher, FM; McSeveny, TM; Byers, JN",Evaporation and carbon dioxide exchange between the atmosphere and a tussock grassland during a summer drought,AGRICULTURAL AND FOREST METEOROLOGY,111,1,65,82,2002,,54,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
2035,"Hwang, Jae Hong; Son, Yowhan","Effects of thinning, liming and litter layer treatments on soil CO2 efflux and litter decay in Pinus rigida and Larix leptolepis plantations.",Journal of Korean Forestry Society,91,4,471,479,2002,,0,Y,Y,,N,1,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
2036,"Ignace, Danielle; Economo, Evan; Enquist, Brian; Huxman, Travis",Latitudinal variation in forest community productivity: A comparison between North America and Europe,Ecological Society of America Annual Meeting Abstracts,87,,165,,2002,,0,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2037,"Irvine, J; Law, BE",Contrasting soil respiration in young and old-growth ponderosa pine forests,GLOBAL CHANGE BIOLOGY,8,12,1183,1194,2002,,61,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); B-L2004"
2038,"Irvine, J; Law, BE; Anthoni, PM; Meinzer, FC",Water limitations to carbon exchange in old-growth and young ponderosa pine stands,TREE PHYSIOLOGY,22,03-Feb,189,196,2002,,37,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration""); B-L2004"
2039,"Ito, A; Oikawa, T",A simulation model of the carbon cycle in land ecosystems (Sim-CYCLE): a description based on dry-matter production theory and plot-scale validation,ECOLOGICAL MODELLING,151,03-Feb,143,176,2002,,29,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2040,"Jacinthe, PA; Lal, R; Kimble, JM",Carbon budget and seasonal carbon dioxide emission from a central Ohio Luvisol as influenced by wheat residue amendment,SOIL & TILLAGE RESEARCH,67,2,147,157,2002,,21,Y,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
2041,"Janssens, IA; Sampson, DA; Curiel-Yuste, J; Carrara, A; Ceulemans, R",The carbon cost of fine root turnover in a Scots pine forest,FOREST ECOLOGY AND MANAGEMENT,168,03-Jan,231,240,2002,,23,N,Y,,N,2,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
2042,"Jiang, H; Apps, MJ; Peng, CH; Zhang, YL; Liu, JX",Modelling the influence of harvesting on Chinese boreal forest carbon dynamics,FOREST ECOLOGY AND MANAGEMENT,169,02-Jan,65,82,2002,,9,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2043,"Kabwe, LK; Hendry, MJ; Wilson, GW; Lawrence, JR",Quantifying CO2 fluxes from soil surfaces to the atmosphere,JOURNAL OF HYDROLOGY,260,04-Jan,1,14,2002,,12,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
2044,"Kaneda, S; Kaneko, N",Influence of soil quality on the growth of Folsomia candida (Willem) (Collembola),PEDOBIOLOGIA,46,5,428,439,2002,,7,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
2045,"Kaye, Jason P.; Burke, Ingrid C.",Carbon fluxes in an urban ecosystem compared to adjacent grasslands and agriculture,Ecological Society of America Annual Meeting Abstracts,87,,175,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2046,"Kiese, R; Butterbach-Bahl, K","N2O and CO2 emissions from three different tropical forest sites in the wet tropics of Queensland, Australia",SOIL BIOLOGY & BIOCHEMISTRY,34,7,975,987,2002,,42,Y,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
2047,"Kimball, B. A.; Zhu Jianguo; Cheng Lei; Kobayashi, K.; Bindi, M.",Responses of agricultural crops to free-air CO2 enrichment.,Yingyong Shengtai Xuebao,13,10,1323,1338,2002,,0,,,,Y,3,9/26/2008,"Topic=(""soil respiration"")"
2048,"King, JA; Harrison, R",Measuring soil respiration in the field: An automated closed chamber system compared with portable IRGA and alkali absorption methods,COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,33,04-Mar,403,423,2002,,10,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
2049,"Klopatek, JM",Belowground carbon pools and processes in different age stands of Douglas-fir,TREE PHYSIOLOGY,22,03-Feb,197,204,2002,,35,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
2050,"Knapp, AK; Fay, PA; Blair, JM; Collins, SL; Smith, MD; Carlisle, JD; Harper, CW; Danner, BT; Lett, MS; McCarron, JK","Rainfall variability, carbon cycling, and plant species diversity in a mesic grassland",SCIENCE,298,5601,2202,2205,2002,,103,N,Y,,N,1,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
2051,"Knohl, A; Kolle, O; Minayeva, TY; Milyukova, IM; Vygodskaya, NN; Foken, T; Schulze, ED",Carbon dioxide exchange of a Russian boreal forest after disturbance by wind throw,GLOBAL CHANGE BIOLOGY,8,3,231,246,2002,,23,N,Y,,N,2,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2052,"Koch, George W.; Rowland, Diane L.; Jones, Chas E.; Johnson, Nancy C.",Evidence of a strong soil organism effect on plant response to CO2 and nitrogen enrichment,Ecological Society of America Annual Meeting Abstracts,87,,182,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2053,"Koerner, B; Klopatek, J",Anthropogenic and natural CO2 emission sources in an arid urban environment,ENVIRONMENTAL POLLUTION,116,,S45,S51,2002,,14,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
2054,"Kramer, K; Leinonen, I; Bartelink, HH; Berbigier, P; Borghetti, M; Bernhofer, C; Cienciala, E; Dolman, AJ; Froer, O; Gracia, CA; Granier, A; Grunwald, T; Hari, P; Jans, W; Kellomaki, S; Loustau, D; Magnani, F; Markkanen, T; Matteucci, G; Mohren, GMJ; Moors, E; Nissinen, A; Peltola, H; Sabate, S; Sanchez, A; Sontag, M; Valentini, R; Vesala, T",Evaluation of six process-based forest growth models using eddy-covariance measurements of CO2 and H2O fluxes at six forest sites in Europe,GLOBAL CHANGE BIOLOGY,8,3,213,230,2002,,30,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2055,"Kudeyarov, VN; Ponizovskii, AA; Bil, KY; Blagodatsky, SA; Semenov, VM; Kuznetsova, TV; Alekseev, AO; Kudeyarova, AY; Murthy, R","Soil in the intensive forestry biome at the Biosphere 2 station, Columbia University (Arizona, United States)",POCHVOVEDENIE / EURASIAN SOIL SCIENCE,35,,S34,S45,2002,,3,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2056,"Kulhavy, J; Grunda, B",Co-2 respiration from soil under a spruce stand and in a reforested clear-felled area,EKOLOGIA-BRATISLAVA,21,,31,44,2002,,0,Y,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
2057,"Kurganova, I. N.; Lopes de Gerenu, V. O.; Rozanova, L. N.; Sapronov, D. V.; Myakshina, T. N.; Kudeyarov, V. N.",Evaluation of carbon dioxide emission from arable gray forest soil.,Agrokhimiya,,9,52,57,2002,No volume #,0,,N,,N,1,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")"
2058,"Lachnicht, SL; Hendrix, PF; Zou, X",Interactive effects of native and exotic earthworms on resource use and nutrient mineralization in a tropical wet forest soil of Puerto Rico,BIOLOGY AND FERTILITY OF SOILS,36,1,43,52,2002,,4,,,10.1007/s00374-002-0501-5,N,4,9/26/2008,"Topic=(""soil respiration"")"
2059,"Lai, CT; Katul, G; Butnor, J; Ellsworth, D; Oren, R",Modelling night-time ecosystem respiration by a constrained source optimization method,GLOBAL CHANGE BIOLOGY,8,2,124,141,2002,,31,,,,N,3,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2060,"Lai, CT; Katul, G; Butnor, J; Siqueira, M; Ellsworth, D; Maier, C; Johnsen, K; Mckeand, S; Oren, R",Modelling the limits on the response of net carbon exchange to fertilization in a south-eastern pine forest,PLANT CELL AND ENVIRONMENT,25,9,1095,1119,2002,,35,,,,N,3,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2061,"Langendorfer, U; Cuntz, M; Ciais, P; Peylin, P; Bariac, T; Milyukova, I; Kolle, O; Naegler, T; Levin, I",Modelling of biospheric CO2 gross fluxes via oxygen isotopes in a spruce forest canopy: a Rn-222 calibrated box model approach,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,54,5,476,496,2002,,9,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2062,"Laporte, Michael F.; Duchesne, L. C.; Wetzel, S.","Effect of rainfall patterns on soil surface CO2 efflux, soil moisture, soil temperature and plant growth in a grassland ecosystem of northern Ontario, Canada: Implications for climate change.",BMC Ecology,2,"10 Cited December 10, 2002",,,2002,,0,N,Y,,N,1,9/26/2008,"Topic=((""soil surface co2 efflux"" or ""soil surface co2 flux"" or ""soil surface carbon flux"" or ""soil surface carbon efflux"") not ""soil respiration"")"
2063,"Law, BE; Falge, E; Gu, L; Baldocchi, DD; Bakwin, P; Berbigier, P; Davis, K; Dolman, AJ; Falk, M; Fuentes, JD; Goldstein, A; Granier, A; Grelle, A; Hollinger, D; Janssens, IA; Jarvis, P; Jensen, NO; Katul, G; Mahli, Y; Matteucci, G; Meyers, T; Monson, R; Munger, W; Oechel, W; Olson, R; Pilegaard, K; Paw, KT; Thorgeirsson, H; Valentini, R; Verma, S; Vesala, T; Wilson, K; Wofsy, S",Environmental controls over carbon dioxide and water vapor exchange of terrestrial vegetation,AGRICULTURAL AND FOREST METEOROLOGY,113,04-Jan,97,120,2002,,177,,,,N,3,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2064,"LeCain, DR; Morgan, JA; Schuman, GE; Reeder, JD; Hart, RH",Carbon exchange and species composition of grazed pastures and exclosures in the shortgrass steppe of Colorado,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,93,03-Jan,421,435,2002,,17,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
2065,"Lee, MS; Nakane, K; Nakatsubo, T; Mo, WH; Koizumi, H",Effects of rainfall events on soil CO2 flux in a cool temperate deciduous broad-leaved forest,ECOLOGICAL RESEARCH,17,3,401,409,2002,,42,Y,Y,,N,1,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
2066,"Leemans, R; Eickhout, B; Strengers, B; Bouwman, L; Schaeffer, M","The consequences of uncertainties in land use, climate and vegetation responses on the terrestrial carbon",SCIENCE IN CHINA SERIES C-LIFE SCIENCES,45,,126,+,2002,,13,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2067,"Leinonen, Ilkka J.; Luo, Yiqi",Quantifying the long-term carbon dynamics of forest ecosystems.,Ecological Society of America Annual Meeting Abstracts,87,,380,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2068,"Levin, I; Ciais, P; Langenfelds, R; Schmidt, M; Ramonet, M; Sidorov, K; Tchebakova, N; Gloor, M; Heimann, M; Schulze, ED; Vygodskaya, NN; Shibistova, O; Lloyd, J",Three years of trace gas observations over the EuroSiberian domain derived from aircraft sampling - a concerted action,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,54,5,696,712,2002,,18,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2069,"Li, LH; Han, XG; Wang, QB; Chen, QS; Zhang, Y; Yang, J; Yan, ZD; Li, X; Bai, WM",Correlations between plant biomass and soil respiration in a Leymus chinensis community in the Xilin River basin of Inner Mongolia,ACTA BOTANICA SINICA,44,5,593,597,2002,,14,Y,Y,,Y,2,9/26/2008,"Topic=(""soil respiration"")"
2070,"Li, LH; Hang, XG; Wang, QB; Bai, WM; Bai, YF; Yan, ZD; Chen, QS; Zhang, Y; Yang, J; Li, X; Song, SH",Soil carbon balance in a native temperate grassland in the Xilin River basin of Inner Mongolia,ACTA BOTANICA SINICA,44,6,740,742,2002,,3,Y,Y,,Y,1,9/26/2008,"Topic=(""soil respiration"")"
2071,"Liikanen, A; Murtoniemi, T; Tanskanen, H; Vaisanen, T; Martikainen, PJ",Effects of temperature and oxygen availability on greenhouse gas and nutrient dynamics in sediment of a eutrophic mid-boreal lake,BIOGEOCHEMISTRY,59,3,269,286,2002,,10,,,,N,3,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")"
2072,"Lipson, DA; Schadt, CW; Schmidt, SK",Changes in soil microbial community structure and function in an alpine dry meadow following spring snow melt,MICROBIAL ECOLOGY,43,3,307,314,2002,,50,,,10.1007/s00248-001-1057-x,N,4,9/26/2008,"Topic=(""soil respiration"")"
2073,"Liu Gang; Han Yong; Zhu Jianguo; Okada, M.; Nakamura, H.; Yoshimoto, M.",Rice-wheat rotational FACE platform I. System structure and control.,Yingyong Shengtai Xuebao,13,10,1253,1258,2002,,0,,,,Y,4,9/26/2008,"Topic=(""soil respiration"")"
2074,"Liu, JX; Peng, CH; Apps, M; Dang, QL; Banfield, E; Kurz, W",Historic carbon budgets of Ontario's forest ecosystems,FOREST ECOLOGY AND MANAGEMENT,169,02-Jan,103,114,2002,,10,,,,N,3,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2075,"Liu, XZ; Wan, SQ; Su, B; Hui, DF; Luo, YQ",Response of soil CO2 efflux to water manipulation in a tallgrass prairie ecosystem,PLANT AND SOIL,240,2,213,223,2002,,26,N,Y,,N,2,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
2076,"Liu, ZG; Zou, XM",Exotic earthworms accelerate plant litter decomposition in a Puerto Rican pasture and a wet forest,ECOLOGICAL APPLICATIONS,12,5,1406,1417,2002,,28,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
2077,"Lloyd, J; Shibistova, O; Zolotoukhine, D; Kolle, O; Arneth, A; Wirth, C; Styles, JM; Tchebakova, NM; Schulze, ED",Seasonal and annual variations in the photosynthetic productivity and carbon balance of a central Siberian pine forest,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,54,5,590,610,2002,,33,N,Y,,N,2,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2078,"Lloyd, JE; Herms, DA; Stinner, BR; Hoitink, HAJ",Comparing composted yard trimmings and ground wood as mulches,BIOCYCLE,43,9,52,+,2002,,1,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2079,"Ludwig, B; Khanna, PK; Bauhus, J; Hopmans, P",Near infrared spectroscopy of forest soils to determine chemical and biological properties related to soil sustainability,FOREST ECOLOGY AND MANAGEMENT,171,02-Jan,121,132,2002,,22,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2080,"Luxhoi, J; Magid, J; Tscherko, D; Kandeler, E","Dynamics of invertase, xylanase and coupled quality indices of decomposing green and brown plant residues",SOIL BIOLOGY & BIOCHEMISTRY,34,4,501,508,2002,,8,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2081,"Maljanen, M; Martikainen, PJ; Aaltonen, H; Silvola, J","Short-term variation in fluxes of carbon dioxide, nitrous oxide and methane in cultivated and forested organic boreal soils",SOIL BIOLOGY & BIOCHEMISTRY,34,5,577,584,2002,,14,Y,Y,,N,2,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")"
2082,"Martin-Olmedo, P; Rees, RM; Grace, J",The influence of plants grown under elevated CO2 and N fertilization on soil nitrogen dynamics,GLOBAL CHANGE BIOLOGY,8,7,643,657,2002,,16,,,,N,3,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
2083,"McAfee, Stephanie A.; Edmonds, Robert L.; Volk, Carol J.","Changing sources of alkalinity in an old-growth forested stream, Olympic National Park, Washington.",Ecological Society of America Annual Meeting Abstracts,87,,390,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
